"","GEOID","year","quarter","N","N_calls_311","lat","lng","N_housing","V1","Estimate_Total","prop_rented","prop_male","prop_african_american","prop_under_poverty_level","prop_vacant_houses","prop_stable","racial_index","income_index","age_index","working_class","land","water"
"1",6075010100,2015,4,718,390,37.804201353941,-122.414178628671,1,7,3798,0.350996097761347,0.541337546076883,0.88204318062138,0.844138661021434,0.131033066338057,0.258557135334387,0.0600315955766193,1839.18473786621,546.73,0.515534491837809,776482,646925
"2",6075010100,2017,3,958,837,37.804883868521,-122.413318395133,1,9,3967,0.349458483754513,0.482480463826569,0.929921855306277,0.864906043676993,0.0655234657039711,0.20115956642299,0.0804134106377615,2032.22488913014,500.6,0.495084446685153,776482,646925
"3",6075010200,2010,2,170,161,37.805093015229,-122.422977176466,1,11,4184,0.362643013240776,0.473948374760994,0.885038240917782,0.950764818355641,0.438359686335004,0.173757170172084,0.106118546845124,2667.20677863566,747.13,0.352294455066922,515572,295388
"4",6075010200,2010,2,170,161,37.801206720855,-122.423453121784,1,11,4184,0.362643013240776,0.473948374760994,0.885038240917782,0.950764818355641,0.438359686335004,0.173757170172084,0.106118546845124,2667.20677863566,747.13,0.352294455066922,515572,295388
"5",6075010200,2010,4,276,154,37.801828443703,-122.422221175152,1,11,4184,0.362643013240776,0.473948374760994,0.885038240917782,0.950764818355641,0.438359686335004,0.173757170172084,0.106118546845124,2667.20677863566,747.13,0.352294455066922,515572,295388
"6",6075010200,2011,1,263,169,37.804972898356,-122.420470301662,1,12,4128,0.361029692876258,0.447916666666667,0.902616279069767,0.94718992248062,0.412896648400663,0.17562984496124,0.106104651162791,2610.63823614073,708.93,0.334544573643411,515572,295388
"7",6075010200,2011,1,263,169,37.802429805147,-122.418483687735,1,12,4128,0.361029692876258,0.447916666666667,0.902616279069767,0.94718992248062,0.412896648400663,0.17562984496124,0.106104651162791,2610.63823614073,708.93,0.334544573643411,515572,295388
"8",6075010200,2011,3,188,179,37.801358806483,-122.422369922796,1,12,4128,0.361029692876258,0.447916666666667,0.902616279069767,0.94718992248062,0.412896648400663,0.17562984496124,0.106104651162791,2610.63823614073,708.93,0.334544573643411,515572,295388
"9",6075010200,2012,2,179,231,37.801889102275,-122.422435930287,1,13,4040,0.356307222787386,0.450742574257426,0.913613861386139,0.942079207920792,0.383265513733469,0.197277227722772,0.0948019801980198,2525.78542239835,651.63,0.324009900990099,515572,295388
"10",6075010200,2012,3,243,232,37.803260657655,-122.42299561417,2,13,4040,0.356307222787386,0.450742574257426,0.913613861386139,0.942079207920792,0.383265513733469,0.197277227722772,0.0948019801980198,2525.78542239835,651.63,0.324009900990099,515572,295388
"11",6075010200,2012,3,243,232,37.801206720855,-122.423453121784,2,13,4040,0.356307222787386,0.450742574257426,0.913613861386139,0.942079207920792,0.383265513733469,0.197277227722772,0.0948019801980198,2525.78542239835,651.63,0.324009900990099,515572,295388
